"Event ID","행사명","행사 유형","시작일","종료일","개최 도시","세부 장소","영향 권역","Impact level","영향 예상 기간","규모 수치","규모 유형","수요 영향 근거","공식 출처 URL","최종 확인일","정보 상태","원본 조사 탭"
"SPO-002","제54회 봉황대기 전국고교야구대회 — 서울 목동/신월/구의권","Sports","2026-08-06","2026-08-29","서울","","서울","Medium Impact","2026-08-06 ~ 2026-08-29","104~110경기 예상","추정/공개 규모","서울 전체보다 목동권 영향 체크가 더 현실적. 운영자료 기준","https://www.bidpro.co.kr/n0_ipchal/konggo/svc/konggo_view.asp?num=3025754","","Confirmed","Sports(Jungjae)"
"SPO-003","제46회 전국장애인체육대회 — 제주 전역","Sports","2026-09-11","2026-09-16","제주","","제주","","2026-09-11 ~ 2026-09-16","31개 종목","추정/공개 규모","제주 체류형 수요 가능성 높음. 공식 공지 확인","https://kpfd.koreanpc.kr/org/kpfd/notice/20956","","Confirmed","Sports(Jungjae)"
"SPO-004","제107회 전국체육대회 — 제주 전역","Sports","2026-10-16","2026-10-22","제주","","제주","","2026-10-16 ~ 2026-10-22","50개 종목","추정/공개 규모","올해 남은 이벤트 중 호텔 임팩 최상위 후보","https://www.sports.or.kr/sports/bbs/BMSR00017/view.do?boardId=72520&menuNo=200023","","Confirmed","Sports(Jungjae)"
"SPO-005","제34회 백록기 전국고등학교 축구대회 — 제주 서귀포","Sports","2026-07-18","2026-08-01","제주","","제주","","2026-07-18 ~ 2026-08-01","38~40팀","추정/공개 규모","공개 정리자료 기준. 실무 적용 전 최종표 재확인 권장","https://young-soccer.tistory.com/entry/2026-Summer-National-High-School-Soccer-Tournaments","","Past","Sports(Jungjae)"
"SPO-006","제59회 대통령금배 전국고등학교 축구대회 — 충북 제천","Sports","2026-07-14","2026-07-28","","","","","2026-07-14 ~ 2026-07-28","38~40팀","추정/공개 규모","제천은 동시기 타 학생대회도 있어 체류 수요 체크 가치 있음","https://young-soccer.tistory.com/entry/2026-Summer-National-High-School-Soccer-Tournaments","","Past","Sports(Jungjae)"
"SPO-007","2026 추계 전국고등학교 축구대회 — 경남 합천","Sports","2026-07-13","2026-07-27","","","","","2026-07-13 ~ 2026-07-27","38~40팀","추정/공개 규모","합천은 숙박 공급이 크지 않아 민감도 높음","https://young-soccer.tistory.com/entry/2026-Summer-National-High-School-Soccer-Tournaments","","Past","Sports(Jungjae)"
"SPO-008","제63회 청룡기 전국고등학교 축구대회 — 경남 고성","Sports","2026-07-16","2026-07-30","통영","","통영","","2026-07-16 ~ 2026-07-30","38~40팀","추정/공개 규모","고성/통영권 숙박 체크","https://young-soccer.tistory.com/entry/2026-Summer-National-High-School-Soccer-Tournaments","","Past","Sports(Jungjae)"
"SPO-009","하늘내린인제 2026 전국 유소년 농구대회 — 강원 인제","Sports","2026-08-06","2026-08-10","","","","","2026-08-06 ~ 2026-08-10","약 1,200명","추정/공개 규모","유소년+학부모 동반 가능성 높음","https://injesports.co.kr/Home/H50000/H50700/html","","Confirmed","Sports(Jungjae)"
"SPO-010","제59회 문화체육관광부장관기 전국남녀학생종별탁구대회 — 전남 해남","Sports","2026-08-19","2026-08-26","","","","","2026-08-19 ~ 2026-08-26","미공개(100명이상)","추정/공개 규모","학생대회라 학부모 동반 가능","https://result.sports.or.kr/TT/INF102.do","","Tentative","Sports(Jungjae)"
"EXH-001","2026 코리아 마이스 엑스포 (KOREA MICE EXPO 2026)","Exhibition/Convention","2026-11-17","2026-11-19","","","","Medium Impact","2026-11-17 ~ 2026-11-19","약 5,000명 이상","추정/공개 규모","새로 개장하는 '코엑스 마곡'에서 개최. 대한민국 최대의 MICE B2B 박람회로 전국의 지자체, 베뉴, 관광 상품 기획자가 집결.","","","Needs verification","Exhibition/Convention(Wooseul)"
"EXH-002","그린에너텍 (Green EnerTEC 2026)","Exhibition/Convention","2026-08-05","2026-08-07","인천","","인천","Medium Impact","2026-08-05 ~ 2026-08-07","참가업체 약 150개사, 참관객 5,000명 이상","추정/공개 규모","인천 송도컨벤시아 개최. 인천공항 접근성을 활용한 단기 체류형 해외 테크 바이어 유동인구 발생.","","","Needs verification","Exhibition/Convention(Wooseul)"
"EXH-003","서울 팝 컬처 컨벤션 (서울팝콘 2026)","Exhibition/Convention","2026-08-14","2026-08-16","서울","","서울","","2026-08-14 ~ 2026-08-16","참관객 약 5만 명 이상","추정/공개 규모","서울 코엑스 개최. 국내외 서브컬처 팬덤 집결로 8월 중순 서울 시내 인바운드 관광 및 굿즈·F&B 소비 진작 효과.","","","Needs verification","Exhibition/Convention(Wooseul)"
"EXH-004","KIAF SEOUL 2026 (한국국제아트페어)","Exhibition/Convention","2026-09-02","2026-09-06","서울","","서울","","2026-09-02 ~ 2026-09-06","참관객 8만 명 이상","추정/공개 규모","서울 코엑스 개최 (25주년). 프리즈 서울과 공동 개최하여 전 세계 고자산가 및 VIP 미술 관광객 집중 방문 기간.","","","Needs verification","Exhibition/Convention(Wooseul)"
"EXH-005","프리즈 서울 2026 (Frieze Seoul 2026)","Exhibition/Convention","2026-09-02","2026-09-05","서울","","서울","","2026-09-02 ~ 2026-09-05","글로벌 최정상 갤러리 110여 개 이상 참여","추정/공개 규모","서울 코엑스 개최. 세계 3대 아트페어. 9월 초 서울 시내 5성급 프리미엄 호텔 및 VIP 의전 차량 예약 특수 유발.","","","Needs verification","Exhibition/Convention(Wooseul)"
"EXH-006","국제 환경 에너지 기술전 (EnTech 2026)","Exhibition/Convention","2026-09-16","2026-09-18","부산","","부산","","2026-09-16 ~ 2026-09-18","참가업체 200개사, 바이어 3,000명 이상","추정/공개 규모","부산 벡스코(BEXCO) 개최. 하반기 부·울·경 지역의 대형 B2B 비즈니스 행사로 해운대 인근 호텔 및 비즈니스 투어 수요 유발.","","","Needs verification","Exhibition/Convention(Wooseul)"
"EXH-007","28회 정동진독립영화제","Exhibition/Convention","2026-08-07","2026-08-10","강릉","","강릉","Medium Impact","2026-08-07 ~ 2026-08-10","약 5,000명 ~ 1만 명 내외","추정/공개 규모","MZ세대와 영화 마니아층의 '여름 강릉 여행' 필수 코스, 8월 초 강릉 지역 숙박·관광 시너지: 8월 첫째 주말이라는 극성수기 일정과 맞물려, 정동진 및 강릉 시내 비즈니스호텔, 게스트하우스, 펜션의 예약률을 최고조로 끌어올리는 역할","","","Needs verification","Exhibition/Convention(Wooseul)"
"SEM-001","DH2026(디지털 휴머니티스2026)","Seminar","2026-07-27","2026-07-31","대전","대전컨벤션센터","대전","Medium Impact","2026-07-27 ~ 2026-07-31","500~1,000명","추정/공개 규모","디지털인문학","","","Past","Seminar(Younguk)"
"SEM-002","2026 한국인공지능학회 하계학술대회","Seminar","2026-08-06","2026-08-08","경주","경주화백컨벤션센터","경주","Medium Impact","2026-08-06 ~ 2026-08-08","500명","추정/공개 규모","인공지능","","","Needs verification","Seminar(Younguk)"
"SEM-003","2026 연차학술대회","Seminar","2026-08-20","2026-08-22","서울","코엑스","서울","Medium Impact","2026-08-20 ~ 2026-08-22","1000명 예상","추정/공개 규모","심리학","","","Needs verification","Seminar(Younguk)"
"SEM-004","AI Summit Seoul & EXPO 2026","Seminar","2026-08-19","2026-08-21","서울","코엑스","서울","","2026-08-19 ~ 2026-08-21","3000명 예상","추정/공개 규모","프로그래밍, 프로그램, 데이터 / 주관처 추정","","","Needs verification","Seminar(Younguk)"
"SEM-005","2026 한국경영학회 융합학술대회","Seminar","2026-08-18","2026-08-20","제주도","제주국제컨벤션센터(ICC 제주)","제주도","Medium Impact","2026-08-18 ~ 2026-08-20","1500명 예상","추정/공개 규모","경영 / 장소 추정","","","Needs verification","Seminar(Younguk)"
"SEM-006","2026 세계도서관정보대회","Seminar","2026-08-10","2026-08-13","부산","벡스코","부산","","2026-08-10 ~ 2026-08-13","3000명 예상","추정/공개 규모","문헌정보학 / 장소·주관처 추정","","","Needs verification","Seminar(Younguk)"
"REG-001","평창더위사냥축제","Regional Event","2026-07-24","2026-08-02","강원특별자치도 평창군","","강원특별자치도 평창군","High Impact","2026-07-24 ~ 2026-08-02","약 10만 명","추정/공개 규모","","https://korean.visitkorea.or.kr/kfes/list/wntyFstvlList.do","","Past","Regional Event(Youri)"
"REG-002","보령머드축제","Regional Event","2026-07-24","2026-08-09","충청남도 보령시","","충청남도 보령시","High Impact","2026-07-24 ~ 2026-08-09","약 120만 명","추정/공개 규모","대한민국 대표 여름축제, 외국인 관광객 비중도 높음","https://korean.visitkorea.or.kr/kfes/list/wntyFstvlList.do","","Confirmed","Regional Event(Youri)"
"REG-003","발코니 뮤직쇼 앤 스트릿 페스타","Regional Event","2026-07-25","2026-07-25","부산광역시 중구","","부산광역시 중구","","2026-07-25","","추정/공개 규모","","https://korean.visitkorea.or.kr/kfes/list/wntyFstvlList.do","","Past","Regional Event(Youri)"
"REG-004","거제여름해양축제","Regional Event","2026-07-25","2026-07-26","경상남도 거제시","","경상남도 거제시","","2026-07-25 ~ 2026-07-26","약 5만 명","추정/공개 규모","","https://korean.visitkorea.or.kr/kfes/list/wntyFstvlList.do","","Past","Regional Event(Youri)"
"REG-005","대구 동구 여름축제 두두썸동","Regional Event","2026-07-25","2026-07-26","대구광역시 동구","","대구광역시 동구","","2026-07-25 ~ 2026-07-26","","추정/공개 규모","","https://korean.visitkorea.or.kr/kfes/list/wntyFstvlList.do","","Past","Regional Event(Youri)"
"REG-006","봉화은어축제","Regional Event","2026-07-25","2026-08-02","경상북도 봉화군","","경상북도 봉화군","High Impact","2026-07-25 ~ 2026-08-02","약 20만 명","추정/공개 규모","","https://korean.visitkorea.or.kr/kfes/list/wntyFstvlList.do","","Past","Regional Event(Youri)"
"REG-007","안동 수(水)페스타","Regional Event","2026-07-25","2026-08-02","경상북도 안동시","","경상북도 안동시","","2026-07-25 ~ 2026-08-02","","추정/공개 규모","","https://korean.visitkorea.or.kr/kfes/list/wntyFstvlList.do","","Past","Regional Event(Youri)"
"REG-008","정남진 장흥 물축제","Regional Event","2026-07-25","2026-08-02","전남광주통합특별시 장흥군","","전남광주통합특별시 장흥군","High Impact","2026-07-25 ~ 2026-08-02","약 30만 명","추정/공개 규모","","https://korean.visitkorea.or.kr/kfes/list/wntyFstvlList.do","","Past","Regional Event(Youri)"
"REG-009","성북문화바캉스","Regional Event","2026-07-25","2026-08-09","서울특별시 성북구","","서울특별시 성북구","","2026-07-25 ~ 2026-08-09","","추정/공개 규모","","https://korean.visitkorea.or.kr/kfes/list/wntyFstvlList.do","","Confirmed","Regional Event(Youri)"
"REG-010","경포 썸머 페스티벌","Regional Event","2026-07-30","2026-08-05","강원특별자치도 강릉시","","강원특별자치도 강릉시","","2026-07-30 ~ 2026-08-05","","추정/공개 규모","","https://korean.visitkorea.or.kr/kfes/list/wntyFstvlList.do","","Past","Regional Event(Youri)"
"REG-011","거문도백도 은빛바다체험행사","Regional Event","2026-07-31","2026-08-01","전남광주통합특별시 여수시","","전남광주통합특별시 여수시","","2026-07-31 ~ 2026-08-01","","추정/공개 규모","","https://korean.visitkorea.or.kr/kfes/list/wntyFstvlList.do","","Past","Regional Event(Youri)"
"REG-012","DDP 바캉스: 뮤직페스티벌","Regional Event","2026-07-31","2026-08-02","서울특별시 중구","","서울특별시 중구","","2026-07-31 ~ 2026-08-02","","추정/공개 규모","","https://korean.visitkorea.or.kr/kfes/list/wntyFstvlList.do","","Past","Regional Event(Youri)"
"REG-013","속초 썸머페스티벌","Regional Event","2026-07-31","2026-08-02","강원특별자치도 속초시","","강원특별자치도 속초시","","2026-07-31 ~ 2026-08-02","","추정/공개 규모","","https://korean.visitkorea.or.kr/kfes/list/wntyFstvlList.do","","Past","Regional Event(Youri)"
"REG-014","영주 시원나잇페스타","Regional Event","2026-07-31","2026-08-02","경상북도 영주시","","경상북도 영주시","","2026-07-31 ~ 2026-08-02","","추정/공개 규모","","https://korean.visitkorea.or.kr/kfes/list/wntyFstvlList.do","","Past","Regional Event(Youri)"
"REG-015","인천펜타포트 락 페스티벌","Regional Event","2026-07-31","2026-08-02","인천광역시 연수구","","인천광역시 연수구","High Impact","2026-07-31 ~ 2026-08-02","약 10만 명","추정/공개 규모","국내 최대 규모의 락 페스티벌","https://korean.visitkorea.or.kr/kfes/list/wntyFstvlList.do","","Past","Regional Event(Youri)"
"REG-016","정읍 물빛축제","Regional Event","2026-07-31","2026-08-02","전북특별자치도 정읍시","","전북특별자치도 정읍시","","2026-07-31 ~ 2026-08-02","","추정/공개 규모","","https://korean.visitkorea.or.kr/kfes/list/wntyFstvlList.do","","Past","Regional Event(Youri)"
"REG-017","한강페스티벌","Regional Event","2026-08-01","2026-08-16","서울특별시 마포구","","서울특별시 마포구","High Impact","2026-08-01 ~ 2026-08-16","약 60만 명","추정/공개 규모","서울시 주관, 한강 전역에서 다양한 프로그램","https://korean.visitkorea.or.kr/kfes/list/wntyFstvlList.do","","Confirmed","Regional Event(Youri)"
"REG-018","홍천강 별빛음악 맥주축제","Regional Event","2026-08-05","2026-08-09","강원특별자치도 홍천군","","강원특별자치도 홍천군","","2026-08-05 ~ 2026-08-09","","추정/공개 규모","","https://korean.visitkorea.or.kr/kfes/list/wntyFstvlList.do","","Confirmed","Regional Event(Youri)"
"REG-019","밀양 수퍼 페스티벌","Regional Event","2026-08-07","2026-08-09","경상남도 밀양시","","경상남도 밀양시","","2026-08-07 ~ 2026-08-09","","추정/공개 규모","","https://korean.visitkorea.or.kr/kfes/list/wntyFstvlList.do","","Confirmed","Regional Event(Youri)"
"REG-020","부산바다축제","Regional Event","2026-08-07","2026-08-13","부산광역시 사하구","","부산광역시 사하구","High Impact","2026-08-07 ~ 2026-08-13","약 80만 명","추정/공개 규모","부산 해운대 등 주요 해변에서 개최, 대규모 콘서트, 해양 스포츠, 불꽃놀이 등","https://korean.visitkorea.or.kr/kfes/list/wntyFstvlList.do","","Confirmed","Regional Event(Youri)"
"REG-021","송도해변축제","Regional Event","2026-08-08","2026-08-15","인천광역시 연수구","","인천광역시 연수구","","2026-08-08 ~ 2026-08-15","","추정/공개 규모","","https://korean.visitkorea.or.kr/kfes/list/wntyFstvlList.do","","Confirmed","Regional Event(Youri)"
"REG-022","통영한산대첩축제","Regional Event","2026-08-12","2026-08-16","경상남도 통영시","","경상남도 통영시","High Impact","2026-08-12 ~ 2026-08-16","약 30만 명","추정/공개 규모","","https://korean.visitkorea.or.kr/kfes/list/wntyFstvlList.do","","Confirmed","Regional Event(Youri)"
"REG-023","강릉 국가유산 야행","Regional Event","2026-08-14","2026-08-16","강원특별자치도 강릉시","","강원특별자치도 강릉시","","2026-08-14 ~ 2026-08-16","","추정/공개 규모","","https://korean.visitkorea.or.kr/kfes/list/wntyFstvlList.do","","Confirmed","Regional Event(Youri)"
"REG-024","공주야밤 맥주축제","Regional Event","2026-08-14","2026-08-16","충청남도 공주시","","충청남도 공주시","","2026-08-14 ~ 2026-08-16","","추정/공개 규모","","https://korean.visitkorea.or.kr/kfes/list/wntyFstvlList.do","","Confirmed","Regional Event(Youri)"
"REG-025","김천포도축제","Regional Event","2026-08-14","2026-08-16","경상북도 김천시","","경상북도 김천시","","2026-08-14 ~ 2026-08-16","","추정/공개 규모","","https://korean.visitkorea.or.kr/kfes/list/wntyFstvlList.do","","Confirmed","Regional Event(Youri)"
"REG-026","둔내고랭지토마토축제","Regional Event","2026-08-14","2026-08-16","강원특별자치도 횡성군","","강원특별자치도 횡성군","","2026-08-14 ~ 2026-08-16","","추정/공개 규모","","https://korean.visitkorea.or.kr/kfes/list/wntyFstvlList.do","","Confirmed","Regional Event(Youri)"
"REG-027","군산 국가유산 야행","Regional Event","2026-08-14","2026-08-22","전북특별자치도 군산시","","전북특별자치도 군산시","","2026-08-14 ~ 2026-08-22","","추정/공개 규모","","https://korean.visitkorea.or.kr/kfes/list/wntyFstvlList.do","","Confirmed","Regional Event(Youri)"
"REG-028","국가유산 미디어아트","Regional Event","2026-08-14","2026-11-08","인천광역시 강화군","","인천광역시 강화군","","2026-08-14 ~ 2026-11-08","","추정/공개 규모","","https://korean.visitkorea.or.kr/kfes/list/wntyFstvlList.do","","Confirmed","Regional Event(Youri)"
"REG-029","서대문독립민주축제","Regional Event","2026-08-15","2026-08-16","서울특별시 서대문구","","서울특별시 서대문구","","2026-08-15 ~ 2026-08-16","","추정/공개 규모","","https://korean.visitkorea.or.kr/kfes/list/wntyFstvlList.do","","Confirmed","Regional Event(Youri)"
